Date,Open,High,Low,Close,Volume
2/2/59,55.21,55.21,55.21,55.21,2005556
2/3/59,55.28,55.28,55.28,55.28,1788889
2/4/59,55.06,55.06,55.06,55.06,1761111
2/5/59,54.81,54.81,54.81,54.81,1744444
2/6/59,54.37,54.37,54.37,54.37,1672222
2/9/59,53.58,53.58,53.58,53.58,1738889
2/10/59,54.32,54.32,54.32,54.32,1644444
2/11/59,54.35,54.35,54.35,54.35,1666667
2/12/59,54,54,54,54,1461111
2/13/59,54.42,54.42,54.42,54.42,1705556
2/16/59,54.5,54.5,54.5,54.5,1933333
2/17/59,54.29,54.29,54.29,54.29,1772222
2/18/59,54.3,54.3,54.3,54.3,1933333
2/19/59,55.5,55.5,55.5,55.5,2311111
2/20/59,55.52,55.52,55.52,55.52,2327778
2/24/59,55.48,55.48,55.48,55.48,2411111
2/25/59,55.24,55.24,55.24,55.24,2100000
2/26/59,55.34,55.34,55.34,55.34,2183333
2/27/59,55.41,55.41,55.41,55.41,2388889
3/2/59,55.73,55.73,55.73,55.73,2338889
3/3/59,56.25,56.25,56.25,56.25,2661111
3/4/59,56.35,56.35,56.35,56.35,2305556
3/5/59,56.43,56.43,56.43,56.43,2183333
3/6/59,56.21,56.21,56.21,56.21,2183333
3/9/59,56.15,56.15,56.15,56.15,1961111
3/10/59,56.31,56.31,56.31,56.31,2177778
3/11/59,56.35,56.35,56.35,56.35,2311111
3/12/59,56.6,56.6,56.6,56.6,2605556
3/13/59,56.67,56.67,56.67,56.67,2711111
3/16/59,56.06,56.06,56.06,56.06,2455556
3/17/59,56.52,56.52,56.52,56.52,2627778
3/18/59,56.39,56.39,56.39,56.39,2516667
3/19/59,56.34,56.34,56.34,56.34,2305556
3/20/59,56.39,56.39,56.39,56.39,2094444
3/23/59,55.87,55.87,55.87,55.87,2055556
3/24/59,55.96,55.96,55.96,55.96,1666667
3/25/59,55.88,55.88,55.88,55.88,1822222
3/26/59,55.76,55.76,55.76,55.76,1611111
3/30/59,55.45,55.45,55.45,55.45,1633333
3/31/59,55.44,55.44,55.44,55.44,1566667
4/1/59,55.69,55.69,55.69,55.69,1655556
4/2/59,56,56,56,56,1788889
4/3/59,56.44,56.44,56.44,56.44,2044444
4/6/59,56.6,56.6,56.6,56.6,1950000
4/7/59,56.48,56.48,56.48,56.48,1677778
4/8/59,56.21,56.21,56.21,56.21,1811111
4/9/59,56.17,56.17,56.17,56.17,1572222
4/10/59,56.22,56.22,56.22,56.22,1666667
4/13/59,56.43,56.43,56.43,56.43,1744444
4/14/59,56.71,56.71,56.71,56.71,1844444
4/15/59,56.96,56.96,56.96,56.96,2044444
4/16/59,57.43,57.43,57.43,57.43,2105556
4/17/59,57.92,57.92,57.92,57.92,2150000
4/20/59,58.17,58.17,58.17,58.17,2005556
4/21/59,58.11,58.11,58.11,58.11,2027778
